day,start_datetime,end_datetime,activity,calories,distance,intensity,label,source,id
"2025-01-29","2025-01-29T12:01:00-05:00","2025-01-29T12:12:00-05:00","walking","",463.16780224038655,"moderate","","confirmed","b87bff3e-b895-4998-8a26-f494a52558a0"
"2025-01-29","2025-01-29T18:24:00-05:00","2025-01-29T19:20:00-05:00","strengthTraining",211.232,202.40120802203916,"moderate","","confirmed","b8386773-13d2-4f59-a3a2-233a66b67602"
"2025-01-29","2025-01-29T19:22:00-05:00","2025-01-29T19:36:00-05:00","walking","",440.0907705519397,"moderate","","confirmed","2f8e4ba8-b1f0-47fa-a1ed-2a2a43bfc484"
"2025-01-30","2025-01-30T09:29:00-05:00","2025-01-30T09:59:00-05:00","walking","",673.2359434482565,"moderate","","confirmed","c3753e94-cd23-4dbf-9d61-73b2c78280a9"
"2025-01-30","2025-01-30T13:34:00-05:00","2025-01-30T14:16:00-05:00","walking","",1844.1541366016713,"moderate","","confirmed","8f8199ab-5a3a-4d72-aaad-306fcfe2a259"
"2025-01-30","2025-01-30T17:57:00-05:00","2025-01-30T18:25:00-05:00","walking","",255.5129393475749,"moderate","","confirmed","d3ef5e19-6388-4c4f-94ad-93b28f57cfa1"
"2025-01-30","2025-01-30T19:12:00-05:00","2025-01-30T19:24:00-05:00","strengthTraining","",230.2661627279554,"moderate","","confirmed","d90af1d6-594e-442e-acfb-c0a1518f61ef"
"2025-01-31","2025-01-31T09:55:00-05:00","2025-01-31T10:06:00-05:00","walking","",733.568897851022,"moderate","","confirmed","8f089235-d3f3-469e-a857-8c367db61ae3"
"2025-01-31","2025-01-31T11:02:00-05:00","2025-01-31T11:14:00-05:00","walking","",759.2488535902364,"moderate","","confirmed","6490ee0d-95f6-4a54-8549-76c27614f310"
"2025-01-31","2025-01-31T17:09:00-05:00","2025-01-31T17:19:00-05:00","walking","",603.5628484906514,"moderate","","confirmed","1980e4a7-5be7-4c5c-967e-7538dbe356e3"
"2025-02-01","2025-02-01T19:19:00-05:00","2025-02-01T20:29:00-05:00","walking",185.64000000000001,3116.4844153322406,"moderate","","confirmed","c468d7ea-ef23-4fbc-bf9b-a81abfbf7099"
"2025-02-03","2025-02-03T09:54:00-05:00","2025-02-03T10:07:00-05:00","walking","",795.2254479657826,"moderate","","confirmed","d6f12162-4585-4251-b392-d08a928e9792"
"2025-02-03","2025-02-03T11:07:00-05:00","2025-02-03T11:19:00-05:00","walking","",697.6579107501308,"moderate","","confirmed","84e038e3-2f59-4606-976c-47f107192064"
"2025-02-03","2025-02-03T11:54:00-05:00","2025-02-03T12:05:00-05:00","walking","",722.7645883165616,"moderate","","confirmed","d0475a0b-bb6b-4fac-a5ba-b33e7d2618aa"
"2025-02-03","2025-02-03T15:11:00-05:00","2025-02-03T15:24:00-05:00","walking","",622.933797119526,"moderate","","confirmed","d6520bf2-7094-4452-bf04-ac37b017a3a5"
"2025-02-04","2025-02-04T15:03:00-05:00","2025-02-04T15:20:00-05:00","walking","",721.6000641935834,"moderate","","confirmed","47294832-1845-4cf7-abde-9f91ddb6b508"
"2025-02-05","2025-02-05T18:02:00-05:00","2025-02-05T19:29:00-05:00","walking",230.72400000000002,371.23645496300384,"moderate","","confirmed","4af4641f-d8ba-4f95-a407-1e10b820d1e1"
"2025-02-05","2025-02-05T19:12:00-05:00","2025-02-05T19:36:00-05:00","strengthTraining","","","moderate","","confirmed","e9821719-fbe6-4998-b95e-feca2569600a"
"2025-02-06","2025-02-06T10:01:00-05:00","2025-02-06T10:13:00-05:00","walking","",655.291108542522,"moderate","","confirmed","796f0e14-d69d-456c-9bbb-97fac214fa22"
"2025-02-06","2025-02-06T14:44:00-05:00","2025-02-06T15:03:00-05:00","walking","",1423.8973345740037,"moderate","","confirmed","29eefc1b-7401-4e25-854f-261f2e2f4f23"
"2025-02-06","2025-02-06T18:20:00-05:00","2025-02-06T19:40:00-05:00","strengthTraining",301.76,408.70460048262106,"moderate","","confirmed","ee42575c-2a20-4665-8a40-2950975dcb21"
"2025-02-06","2025-02-06T19:40:00-05:00","2025-02-06T19:52:00-05:00","walking","",342.68173324550736,"moderate","","confirmed","1886427f-0336-49d2-afc1-82414170d5cf"
"2025-02-07","2025-02-07T09:59:00-05:00","2025-02-07T10:09:00-05:00","walking","",687.0102449687558,"moderate","","confirmed","d4b8f4b1-8114-4382-97a3-4d1aaacd9d30"
"2025-02-07","2025-02-07T11:02:00-05:00","2025-02-07T11:12:00-05:00","walking","","","moderate","","confirmed","a85084e6-af95-4877-863b-8545fe3a433c"
"2025-02-07","2025-02-07T13:53:00-05:00","2025-02-07T14:03:00-05:00","walking","","","moderate","","confirmed","e23ed4a0-6de9-4f78-bc5e-755d085a29ca"
"2025-02-07","2025-02-07T19:53:00-05:00","2025-02-07T20:14:00-05:00","walking","","","moderate","","confirmed","bdbf3986-fde8-4300-ae86-8b1822be415a"
"2025-02-08","2025-02-08T14:40:00-05:00","2025-02-08T16:30:00-05:00","strengthTraining",414.91999999999996,"","moderate","","confirmed","758cb547-d7dd-4b0e-b200-0ab71bb5f2b2"
"2025-02-08","2025-02-08T19:43:00-05:00","2025-02-08T19:53:00-05:00","strengthTraining","","","moderate","","confirmed","51d5fd7a-ae51-4b74-86ea-30e18839d039"
"2025-02-08","2025-02-08T22:15:00-05:00","2025-02-08T22:28:00-05:00","walking","","","moderate","","confirmed","7495163b-2d92-48ee-9832-672472702a92"
"2025-02-08","2025-02-08T23:15:00-05:00","2025-02-08T23:33:00-05:00","walking","","","moderate","","confirmed","b3d64e1a-46f6-42f6-acef-ef86aa4c3c81"
"2025-02-08","2025-02-08T23:54:00-05:00","2025-02-09T00:04:00-05:00","walking","","","moderate","","confirmed","cc5fe03f-3861-44fa-b2d6-9e7f0a9c81c1"
"2025-02-10","2025-02-10T11:58:00-05:00","2025-02-10T12:10:00-05:00","walking","","","moderate","","confirmed","8200bd2b-f686-4819-9ba2-562d8c134d34"
"2025-02-11","2025-02-11T13:37:00-05:00","2025-02-11T14:05:00-05:00","walking",74.256,"","moderate","","confirmed","837da5ac-8ca9-47c5-899d-452d46130074"
"2025-02-11","2025-02-11T15:01:00-05:00","2025-02-11T15:13:00-05:00","walking","","","moderate","","confirmed","c9d8db32-181c-4f79-8b29-cacc713580f7"
"2025-02-11","2025-02-11T18:18:00-05:00","2025-02-11T18:31:00-05:00","walking","","","moderate","","confirmed","46ba7655-267a-4156-aee3-bb88cb4833eb"
"2025-02-11","2025-02-11T19:10:00-05:00","2025-02-11T19:23:00-05:00","strengthTraining","","","moderate","","confirmed","84ecccd7-9717-4bf8-9973-4e5a43644865"
"2025-02-11","2025-02-11T19:23:00-05:00","2025-02-11T19:34:00-05:00","walking","","","moderate","","confirmed","b7c8ea84-03d9-491c-a3f5-64c44a5a4f45"
"2025-02-12","2025-02-12T09:48:00-05:00","2025-02-12T10:03:00-05:00","walking","","","moderate","","confirmed","a7595555-129b-4a98-9e2b-865139523385"
"2025-02-12","2025-02-12T15:09:00-05:00","2025-02-12T15:22:00-05:00","walking","","","moderate","","confirmed","83e09efe-5103-4844-941d-14ab38291188"
"2025-02-13","2025-02-13T11:03:00-05:00","2025-02-13T11:18:00-05:00","walking","","","moderate","","confirmed","ba0c596c-5fd7-437b-9155-8b26f158f9a9"
"2025-02-13","2025-02-13T11:19:00-05:00","2025-02-13T11:30:00-05:00","walking","","","moderate","","confirmed","e11ba6c9-9576-4554-9c2e-c5cdef823723"
"2025-02-14","2025-02-14T09:59:00-05:00","2025-02-14T10:10:00-05:00","walking","","","moderate","","confirmed","7ad6fac8-3210-4cb1-a5d9-643e2479e1c8"
"2025-02-14","2025-02-14T16:46:00-05:00","2025-02-14T17:02:00-05:00","walking","","","moderate","","confirmed","ef948778-4734-4a51-b3f5-fbe4f10f31fb"
"2025-02-14","2025-02-14T18:00:00-05:00","2025-02-14T19:10:00-05:00","strengthTraining",264.03999999999996,"","moderate","","confirmed","63cd638b-c9ef-42b8-bb1e-f0d1a45bf93e"
"2025-02-14","2025-02-14T18:58:00-05:00","2025-02-14T19:30:00-05:00","strengthTraining",120.704,"","moderate","","confirmed","49451f5e-01e5-4327-aa7e-e91e561357ed"
"2025-02-14","2025-02-14T19:37:00-05:00","2025-02-14T20:02:00-05:00","walking","","","moderate","","confirmed","42318859-4358-4110-acbc-d9aa08bc879a"
"2025-02-15","2025-02-15T14:56:00-05:00","2025-02-15T15:21:00-05:00","walking","","","moderate","","confirmed","d8288169-4f8c-447c-a26c-38007d195e97"
"2025-02-15","2025-02-15T15:30:30-05:00","2025-02-15T17:00:30-05:00","strengthTraining",339.47999999999996,"","moderate","","manual","d248b95e-5df4-427b-b9c7-bd1a0face60c"
"2025-02-15","2025-02-15T17:00:12-05:00","2025-02-15T17:30:12-05:00","walking",79.56,"","moderate","","manual","41349e92-0865-442a-b07a-35e66d2c02f9"
"2025-02-15","2025-02-15T17:37:00-05:00","2025-02-15T17:47:00-05:00","walking","","","moderate","","confirmed","ef3095e1-6c1f-4756-8a88-4349d426eb27"
"2025-02-16","2025-02-16T18:11:00-05:00","2025-02-16T19:00:00-05:00","strengthTraining",184.828,"","moderate","","confirmed","028874fa-3dc6-4c53-bf00-2db686d9c1a2"
"2025-02-17","2025-02-17T11:25:00-05:00","2025-02-17T11:35:00-05:00","walking","","","moderate","","confirmed","1aeda283-6f05-4f25-9a37-0f7cf85d68d4"
"2025-02-17","2025-02-17T15:18:00-05:00","2025-02-17T15:32:00-05:00","walking","","","moderate","","confirmed","6bd48789-ce53-4027-95a2-0776bbf2f4c8"
"2025-02-17","2025-02-17T16:51:00-05:00","2025-02-17T17:04:00-05:00","walking","","","moderate","","confirmed","51b81367-b01b-46e4-8946-84fe6b56e2e4"
"2025-02-18","2025-02-18T18:22:00-05:00","2025-02-18T18:46:00-05:00","strengthTraining","","","moderate","","confirmed","d69276af-0d9d-4040-b47d-c9e1a96885e0"
"2025-02-18","2025-02-18T19:22:00-05:00","2025-02-18T19:45:00-05:00","strengthTraining",86.756,"","moderate","","confirmed","f6a2115f-94ae-48cd-9d12-92f96cb6972e"
"2025-02-19","2025-02-19T17:06:00-05:00","2025-02-19T17:38:00-05:00","walking","","","moderate","","confirmed","d2cfc11d-e2c6-4721-ab52-99567b364af1"
"2025-02-19","2025-02-19T17:30:00-05:00","2025-02-19T19:20:00-05:00","strengthTraining",414.91999999999996,"","moderate","","confirmed","dc55290b-b69f-4cf4-b47d-444dae54b8fe"
"2025-02-21","2025-02-21T17:50:00-05:00","2025-02-21T18:01:00-05:00","walking","","","moderate","","confirmed","3375d645-de3e-48a5-95b5-2d9f4e6f4f71"
"2025-02-21","2025-02-21T18:22:00-05:00","2025-02-21T18:43:00-05:00","strengthTraining",79.21199999999999,"","moderate","","confirmed","90a847b6-49cb-4cae-be97-a43bf864fe3a"
"2025-02-21","2025-02-21T19:04:00-05:00","2025-02-21T19:22:00-05:00","walking","","","moderate","","confirmed","26c347ad-c45d-4a90-b048-ce88f51c0706"
"2025-02-21","2025-02-21T19:22:00-05:00","2025-02-21T19:35:00-05:00","strengthTraining","","","moderate","","confirmed","f5ccbeec-0a39-44f7-9039-f37ae30090ae"
"2025-02-21","2025-02-21T19:39:00-05:00","2025-02-21T19:50:00-05:00","strengthTraining","","","moderate","","confirmed","10bad86b-1275-48bd-a8cf-ce1c6e7da4dc"
"2025-02-22","2025-02-22T15:33:00-05:00","2025-02-22T15:50:00-05:00","walking","","","moderate","","confirmed","e25074b7-46d4-4e60-9769-636fc3551c72"
"2025-02-22","2025-02-22T15:50:00-05:00","2025-02-22T16:15:00-05:00","strengthTraining",94.3,"","moderate","","confirmed","4c03b48c-1b65-49dc-aef7-37abcb76a096"
"2025-02-22","2025-02-22T16:15:00-05:00","2025-02-22T16:26:00-05:00","walking","","","moderate","","confirmed","b0b7b3ed-ad81-4f6d-9bbc-1b537f88cae6"
"2025-02-22","2025-02-22T17:02:00-05:00","2025-02-22T17:12:00-05:00","walking","","","moderate","","confirmed","7e8132a2-6922-4f09-84e2-f1ee1d52fe63"
"2025-02-23","2025-02-23T09:50:03-05:00","2025-02-23T10:50:03-05:00","walking",159.12,"","moderate","","manual","ed1494ce-ca06-409b-80fc-dae0703c48d2"
"2025-02-23","2025-02-23T14:52:00-05:00","2025-02-23T15:21:00-05:00","walking","","","moderate","","confirmed","85e284fe-cfd8-49c7-9221-cf26a421d89b"
"2025-02-23","2025-02-23T15:20:30-05:00","2025-02-23T16:40:30-05:00","strengthTraining",301.76,"","moderate","","manual","19922030-35cc-4f0a-a475-38717d440b8d"
"2025-02-24","2025-02-24T09:50:44-05:00","2025-02-24T10:05:44-05:00","walking",39.78,"","moderate","","manual","914aac9f-9c3a-499b-baf1-f55554e5934d"
"2025-02-24","2025-02-24T13:04:00-05:00","2025-02-24T13:15:00-05:00","walking","","","moderate","","confirmed","2ad979d5-311d-4ab5-8c5b-0089d1a89f42"
"2025-02-26","2025-02-26T09:55:00-05:00","2025-02-26T10:06:00-05:00","walking","","","moderate","","confirmed","02914f2e-fa0f-4456-bd78-ef206c0bcafe"
"2025-02-26","2025-02-26T12:03:00-05:00","2025-02-26T12:14:00-05:00","walking","","","moderate","","confirmed","0a7786c3-0e46-4783-a106-85b854776f79"
"2025-02-26","2025-02-26T18:14:00-05:00","2025-02-26T18:30:00-05:00","walking","","","moderate","","confirmed","94d5897d-32de-4337-bfb3-95ab05cefab2"
"2025-02-26","2025-02-26T18:30:05-05:00","2025-02-26T20:30:05-05:00","strengthTraining",169.8,"","easy","","manual","3613a125-40ec-4ab0-8ff8-6af8fb579213"
"2025-02-27","2025-02-27T17:24:00-05:00","2025-02-27T17:36:00-05:00","strengthTraining","","","moderate","","confirmed","733e0a31-0c6d-4949-8c63-af9a5fb0634c"
